GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
65,2015-11-04,MIL,PHI,91,87,17,15,Steve Anderson,Derrick Collins,Michael Smith
66,2015-11-04,OKC,TOR,98,103,14,39,Sean Corbin,Dedric Taylor,Sean Wright
67,2015-11-04,PHO,SAC,118,97,22,12,David Jones,Ed Malloy,Haywoode Workman
68,2015-11-04,UTA,POR,92,108,33,32,David Guthrie,Marat Kogut,Ken Mauer
69,2015-11-04,WAS,SAS,102,99,14,20,Nick Buchert,Mike Callahan,Tyler Ford
70,2015-11-05,CHI,OKC,104,98,21,20,Tony Brown,James Capers,Karl Lane
71,2015-11-05,DAL,CHO,94,108,27,17,Pat Fraher,Ron Garretson,Tre Maddox
72,2015-11-05,DEN,UTA,84,96,34,17,Bill Kennedy,J.T. Orr,Bill Spooner
73,2015-11-05,MIN,MIA,84,96,22,25,Steve Anderson,John Goble,James Williams
74,2015-11-05,POR,MEM,115,96,20,21,Kevin Scott,Derrick Stafford,Scott Wall
75,2015-11-06,BOS,WAS,118,98,23,23,Brent Barnaky,Joe Crawford,Justin Van Duyne
76,2015-11-06,BRK,LAL,98,104,20,40,Kane Fitzgerald,Jason Phillips,Dedric Taylor
77,2015-11-06,CLE,PHI,108,102,12,15,Mitchell Ervin,Eric Lewis,Monty McCutchen
78,2015-11-06,GSW,DEN,119,104,18,22,David Jones,Ed Malloy,Ben Taylor
79,2015-11-06,IND,MIA,90,87,24,13,Marc Davis,Karl Lane,Mark Lindsay
80,2015-11-06,NOP,ATL,115,121,24,35,Derrick Collins,Michael Smith,Scott Twardoski
81,2015-11-06,NYK,MIL,92,99,28,29,Gediminas Petraitis,Josh Tiven,Tom Washington
82,2015-11-06,ORL,TOR,92,87,22,29,Mark Ayotte,Eric Dalen,Brian Forte
83,2015-11-06,PHO,DET,92,100,13,36,Matt Boland,Eli Roe,Zach Zarba
84,2015-11-06,SAC,HOU,110,116,29,27,Marat Kogut,Ken Mauer,Gary Zielinski
85,2015-11-07,ATL,WAS,114,99,15,17,Steve Anderson,James Capers,Kane Fitzgerald
86,2015-11-07,CHI,MIN,93,102,23,27,Tony Brothers,Sean Corbin,Tyler Ford
87,2015-11-07,DAL,NOP,107,98,22,13,Mike Callahan,David Guthrie,Lauren Holtkamp
88,2015-11-07,LAC,HOU,105,109,25,29,Kevin Cutler,Derrick Stafford,Scott Wall
89,2015-11-07,MIL,BRK,94,86,16,19,Courtney Kirkland,Rodney Mott,Haywoode Workman
90,2015-11-07,PHI,ORL,97,105,26,24,Tony Brown,Dedric Taylor,James Williams
91,2015-11-07,SAC,GSW,94,103,16,22,Matt Boland,John Goble,Kevin Scott
92,2015-11-07,SAS,CHO,114,94,23,31,Curtis Blair,Derrick Collins,Sean Wright
93,2015-11-07,UTA,MEM,89,79,18,14,Bennie Adams,Ed Malloy,Leon Wood
94,2015-11-08,CLE,IND,101,97,25,19,Brent Barnaky,Joe Crawford,Justin Van Duyne
95,2015-11-08,MIA,TOR,96,76,25,22,Mitchell Ervin,Monty McCutchen,Josh Tiven
96,2015-11-08,NYK,LAL,99,95,29,23,Mark Ayotte,Marc Davis,Derek Richardson
97,2015-11-08,OKC,PHO,124,103,30,26,Bill Kennedy,Jason Phillips,Scott Twardoski
98,2015-11-08,POR,DET,103,120,18,22,John Goble,David Jones,Ben Taylor
99,2015-11-09,ATL,MIN,107,117,7,22,Mike Callahan,Rodney Mott,Leon Wood
100,2015-11-09,DEN,POR,108,104,32,27,Matt Boland,Brian Forte,Scott Twardoski
101,2015-11-09,GSW,DET,109,95,13,15,Tre Maddox,Bill Spooner,Scott Wall
102,2015-11-09,IND,ORL,97,84,22,17,Curtis Blair,Sean Corbin,Tom Washington
103,2015-11-09,LAC,MEM,94,92,37,29,Tony Brothers,Pat Fraher,J.T. Orr
104,2015-11-09,PHI,CHI,88,111,23,23,Dan Crawford,Leroy Richardson,Haywoode Workman
105,2015-11-09,SAC,SAS,88,106,19,11,Bennie Adams,Derrick Stafford,Ben Taylor
106,2015-11-10,CLE,UTA,118,114,43,28,Mark Lindsay,C.J. Washington,Zach Zarba
107,2015-11-10,MIA,LAL,101,88,27,12,Brent Barnaky,Ron Garretson,Gediminas Petraitis
108,2015-11-10,MIL,BOS,83,99,23,19,Kane Fitzgerald,Scott Foster,Aaron Smith
109,2015-11-10,MIN,CHO,95,104,19,27,David Guthrie,Bill Kennedy,Justin Van Duyne
110,2015-11-10,NOP,DAL,120,105,18,26,Steve Anderson,Nick Buchert,Jason Phillips
111,2015-11-10,TOR,NYK,109,111,39,18,Tony Brown,Tyler Ford,Ed Malloy
112,2015-11-10,WAS,OKC,101,125,26,29,Mark Ayotte,Eric Dalen,Eric Lewis
113,2015-11-11,ATL,NOP,106,98,16,15,Scott Foster,Eli Roe,Gary Zielinski
114,2015-11-11,BOS,IND,91,102,32,31,Derrick Collins,Courtney Kirkland,Kevin Scott
115,2015-11-11,CHO,NYK,95,93,28,7,Brent Barnaky,Ron Garretson,David Jones
116,2015-11-11,DAL,LAC,118,108,30,33,Dan Crawford,Josh Tiven,Leon Wood
117,2015-11-11,DEN,MIL,103,102,24,9,John Goble,Tre Maddox,Scott Wall
118,2015-11-11,HOU,BRK,98,106,12,17,Bennie Adams,Lauren Holtkamp,Sean Wright
119,2015-11-11,MEM,GSW,84,100,36,23,Steve Anderson,James Capers,Rodney Mott
120,2015-11-11,ORL,LAL,101,99,12,18,Marat Kogut,Ken Mauer,Michael Smith
121,2015-11-11,PHI,TOR,103,119,17,31,Curtis Blair,Kane Fitzgerald,Tom Washington
122,2015-11-11,POR,SAS,101,113,23,18,Tony Brothers,J.T. Orr,James Williams
123,2015-11-11,SAC,DET,101,92,24,20,Kevin Cutler,Brian Forte,Pat Fraher
124,2015-11-12,MIA,UTA,92,91,25,25,Mike Callahan,Eric Lewis,Brett Nansel
125,2015-11-12,MIN,GSW,116,129,36,16,Karl Lane,Leroy Richardson,Zach Zarba
126,2015-11-12,PHO,LAC,118,104,21,28,Mark Ayotte,Brian Forte,Monty McCutchen
127,2015-11-13,BOS,ATL,106,93,12,20,Mark Lindsay,Derek Richardson,Derrick Stafford
128,2015-11-13,CHI,CHO,102,97,31,12,Courtney Kirkland,Eli Roe,Sean Wright
129,2015-11-13,DAL,LAL,90,82,29,18,Bennie Adams,Ed Malloy,Scott Twardoski
130,2015-11-13,DEN,HOU,107,98,32,31,Kevin Cutler,Pat Fraher,Josh Tiven
131,2015-11-13,IND,MIN,107,103,23,13,Ron Garretson,David Jones,Gediminas Petraitis
132,2015-11-13,MEM,POR,101,100,27,29,Scott Foster,Lauren Holtkamp,Leroy Richardson
133,2015-11-13,NYK,CLE,84,90,21,31,Derrick Collins,Eric Dalen,Eric Lewis
134,2015-11-13,OKC,PHI,102,85,21,28,Marat Kogut,Ken Mauer,Rodney Mott
135,2015-11-13,ORL,UTA,102,93,31,23,Steve Anderson,James Capers,Gary Zielinski
136,2015-11-13,SAC,BRK,111,109,26,21,Tony Brothers,Nick Buchert,Tre Maddox
137,2015-11-13,TOR,NOP,100,81,27,20,Matt Boland,Sean Corbin,Ben Taylor
138,2015-11-14,GSW,BRK,107,99,10,16,Mitchell Ervin,Monty McCutchen,James Williams
139,2015-11-14,HOU,DAL,98,110,32,21,Brent Barnaky,Mike Callahan,David Guthrie
140,2015-11-14,LAC,DET,101,96,26,35,Kane Fitzgerald,Jason Phillips,Dedric Taylor
141,2015-11-14,MIL,CLE,108,105,22,27,Matt Boland,Marc Davis,Karl Lane
142,2015-11-14,PHO,DEN,105,81,26,8,Nick Buchert,Bill Kennedy,Leon Wood
143,2015-11-14,SAS,PHI,92,83,25,11,Brian Forte,Ed Malloy,Scott Twardoski
144,2015-11-14,WAS,ORL,108,99,26,24,Tony Brown,John Goble,Haywoode Workman
145,2015-11-15,ATL,UTA,96,97,17,17,Brent Barnaky,Ron Garretson,Justin Van Duyne
146,2015-11-15,CHO,POR,106,94,19,21,Derek Richardson,Derrick Stafford,Gary Zielinski
147,2015-11-15,LAL,DET,97,85,39,15,Tony Brothers,Tre Maddox,Josh Tiven
