GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
1,2015-10-27,ATL,DET,94,106
2,2015-10-27,CHI,CLE,97,95
3,2015-10-27,GSW,NOP,111,95
4,2015-10-28,BOS,PHI,112,95
5,2015-10-28,BRK,CHI,100,115
6,2015-10-28,DET,UTA,92,87
7,2015-10-28,HOU,DEN,85,105
8,2015-10-28,LAL,MIN,111,112
9,2015-10-28,MEM,CLE,76,106
10,2015-10-28,MIA,CHO,104,94
11,2015-10-28,MIL,NYK,97,122
12,2015-10-28,OKC,SAS,112,106
13,2015-10-28,ORL,WAS,87,88
14,2015-10-28,PHO,DAL,95,111
15,2015-10-28,POR,NOP,112,94
16,2015-10-28,SAC,LAC,104,111
17,2015-10-28,TOR,IND,106,99
18,2015-10-29,IND,MEM,103,112
19,2015-10-29,LAC,DAL,104,88
20,2015-10-29,NYK,ATL,101,112
21,2015-10-30,ATL,CHO,97,94
22,2015-10-30,BOS,TOR,103,113
23,2015-10-30,CLE,MIA,102,92
24,2015-10-30,DEN,MIN,78,95
25,2015-10-30,DET,CHI,98,94
26,2015-10-30,HOU,GSW,92,112
27,2015-10-30,MIL,WAS,113,118
28,2015-10-30,ORL,OKC,136,139
29,2015-10-30,PHI,UTA,71,99
30,2015-10-30,PHO,POR,110,92
31,2015-10-30,SAC,LAL,132,114
32,2015-10-30,SAS,BRK,102,75
33,2015-10-31,IND,UTA,76,97
34,2015-10-31,LAC,SAC,114,109
35,2015-10-31,MEM,BRK,101,91
36,2015-10-31,NOP,GSW,120,134
37,2015-10-31,POR,PHO,90,101
38,2015-10-31,WAS,NYK,110,117
39,2015-11-01,BOS,SAS,87,95
40,2015-11-01,CHI,ORL,92,87
41,2015-11-01,CHO,ATL,92,94
42,2015-11-01,LAL,DAL,93,103
43,2015-11-01,MIA,HOU,109,89
44,2015-11-01,OKC,DEN,117,93
45,2015-11-01,TOR,MIL,106,87
46,2015-11-02,BRK,MIL,96,103
47,2015-11-02,GSW,MEM,119,69
48,2015-11-02,HOU,OKC,110,105
49,2015-11-02,LAC,PHO,102,96
50,2015-11-02,MIN,POR,101,106
51,2015-11-02,NYK,SAS,84,94
52,2015-11-02,PHI,CLE,100,107
53,2015-11-03,CHO,CHI,130,105
54,2015-11-03,DAL,TOR,91,102
55,2015-11-03,DET,IND,82,94
56,2015-11-03,LAL,DEN,109,120
57,2015-11-03,MIA,ATL,92,98
58,2015-11-03,NOP,ORL,94,103
59,2015-11-03,SAC,MEM,89,103
60,2015-11-04,ATL,BRK,101,87
61,2015-11-04,CLE,NYK,96,86
62,2015-11-04,GSW,LAC,112,108
63,2015-11-04,HOU,ORL,119,114
64,2015-11-04,IND,BOS,100,98
65,2015-11-04,MIL,PHI,91,87
66,2015-11-04,OKC,TOR,98,103
67,2015-11-04,PHO,SAC,118,97
68,2015-11-04,UTA,POR,92,108
69,2015-11-04,WAS,SAS,102,99
70,2015-11-05,CHI,OKC,104,98
71,2015-11-05,DAL,CHO,94,108
72,2015-11-05,DEN,UTA,84,96
73,2015-11-05,MIN,MIA,84,96
74,2015-11-05,POR,MEM,115,96
75,2015-11-06,BOS,WAS,118,98
76,2015-11-06,BRK,LAL,98,104
77,2015-11-06,CLE,PHI,108,102
78,2015-11-06,GSW,DEN,119,104
79,2015-11-06,IND,MIA,90,87
80,2015-11-06,NOP,ATL,115,121
81,2015-11-06,NYK,MIL,92,99
82,2015-11-06,ORL,TOR,92,87
83,2015-11-06,PHO,DET,92,100
84,2015-11-06,SAC,HOU,110,116
85,2015-11-07,ATL,WAS,114,99
86,2015-11-07,CHI,MIN,93,102
87,2015-11-07,DAL,NOP,107,98
88,2015-11-07,LAC,HOU,105,109
89,2015-11-07,MIL,BRK,94,86
90,2015-11-07,PHI,ORL,97,105
91,2015-11-07,SAC,GSW,94,103
92,2015-11-07,SAS,CHO,114,94
93,2015-11-07,UTA,MEM,89,79
94,2015-11-08,CLE,IND,101,97
95,2015-11-08,MIA,TOR,96,76
96,2015-11-08,NYK,LAL,99,95
97,2015-11-08,OKC,PHO,124,103
98,2015-11-08,POR,DET,103,120
99,2015-11-09,ATL,MIN,107,117
100,2015-11-09,DEN,POR,108,104
101,2015-11-09,GSW,DET,109,95
