GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
1,2016-04-16,ATL,BOS,102,101
2,2016-04-16,GSW,HOU,104,78
3,2016-04-16,OKC,DAL,108,70
4,2016-04-16,TOR,IND,90,100
5,2016-04-17,CLE,DET,106,101
6,2016-04-17,LAC,POR,115,95
7,2016-04-17,MIA,CHO,123,91
8,2016-04-17,SAS,MEM,106,74
9,2016-04-18,GSW,HOU,115,106
10,2016-04-18,OKC,DAL,84,85
11,2016-04-18,TOR,IND,98,87
12,2016-04-19,ATL,BOS,89,72
13,2016-04-19,SAS,MEM,94,68
14,2016-04-20,CLE,DET,107,90
15,2016-04-20,LAC,POR,102,81
16,2016-04-20,MIA,CHO,115,103
17,2016-04-21,DAL,OKC,102,131
18,2016-04-21,HOU,GSW,97,96
19,2016-04-21,IND,TOR,85,101
20,2016-04-22,BOS,ATL,111,103
21,2016-04-22,DET,CLE,91,101
22,2016-04-22,MEM,SAS,87,96
23,2016-04-23,CHO,MIA,96,80
24,2016-04-23,DAL,OKC,108,119
25,2016-04-23,IND,TOR,100,83
26,2016-04-23,POR,LAC,96,88
27,2016-04-24,BOS,ATL,104,95
28,2016-04-24,DET,CLE,98,100
29,2016-04-24,HOU,GSW,94,121
30,2016-04-24,MEM,SAS,95,116
31,2016-04-25,CHO,MIA,89,85
32,2016-04-25,OKC,DAL,118,104
33,2016-04-25,POR,LAC,98,84
34,2016-04-26,ATL,BOS,110,83
35,2016-04-26,TOR,IND,102,99
36,2016-04-27,GSW,HOU,114,81
37,2016-04-27,LAC,POR,98,108
38,2016-04-27,MIA,CHO,88,90
39,2016-04-28,BOS,ATL,92,104
40,2016-04-29,CHO,MIA,90,97
41,2016-04-29,IND,TOR,101,83
42,2016-04-29,POR,LAC,106,103
43,2016-04-30,SAS,OKC,124,92
44,2016-05-01,GSW,POR,118,106
45,2016-05-01,MIA,CHO,106,73
46,2016-05-01,TOR,IND,89,84
47,2016-05-02,CLE,ATL,104,93
48,2016-05-02,SAS,OKC,97,98
49,2016-05-03,GSW,POR,110,99
50,2016-05-03,TOR,MIA,96,102
51,2016-05-04,CLE,ATL,123,98
52,2016-05-05,TOR,MIA,96,92
53,2016-05-06,ATL,CLE,108,121
54,2016-05-06,OKC,SAS,96,100
55,2016-05-07,MIA,TOR,91,95
56,2016-05-07,POR,GSW,120,108
57,2016-05-08,ATL,CLE,99,100
58,2016-05-08,OKC,SAS,111,97
59,2016-05-09,MIA,TOR,94,87
60,2016-05-09,POR,GSW,125,132
61,2016-05-10,SAS,OKC,91,95
62,2016-05-11,GSW,POR,125,121
63,2016-05-11,TOR,MIA,99,91
64,2016-05-12,OKC,SAS,113,99
65,2016-05-13,MIA,TOR,103,91
66,2016-05-15,TOR,MIA,116,89
67,2016-05-16,GSW,OKC,102,108
68,2016-05-17,CLE,TOR,115,84
69,2016-05-18,GSW,OKC,118,91
70,2016-05-19,CLE,TOR,108,89
71,2016-05-21,TOR,CLE,99,84
72,2016-05-22,OKC,GSW,133,105
73,2016-05-23,TOR,CLE,105,99
74,2016-05-24,OKC,GSW,118,94
75,2016-05-25,CLE,TOR,116,78
76,2016-05-26,GSW,OKC,120,111
77,2016-05-27,TOR,CLE,87,113
78,2016-05-28,OKC,GSW,101,108
79,2016-05-30,GSW,OKC,96,88
80,2016-06-02,GSW,CLE,104,89
81,2016-06-05,GSW,CLE,110,77
82,2016-06-08,CLE,GSW,120,90
83,2016-06-10,CLE,GSW,97,108
84,2016-06-13,GSW,CLE,97,112
85,2016-06-16,CLE,GSW,115,101
86,2016-06-19,GSW,CLE,89,93
