GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
1,2015-04-18,CHI,MIL,103,91,22,26,Kane Fitzgerald,Scott Foster,Bill Kennedy
2,2015-04-18,GSW,NOP,106,99,34,25,Tony Brothers,Sean Corbin,Jason Phillips
3,2015-04-18,HOU,DAL,118,108,45,17,Tony Brown,Joe Crawford,Ron Garretson
4,2015-04-18,TOR,WAS,86,93,14,15,Monty McCutchen,Derrick Stafford,Josh Tiven
5,2015-04-19,ATL,BRK,99,92,22,22,Dan Crawford,Marc Davis,Bennett Salvatore
6,2015-04-19,CLE,BOS,113,100,33,22,Mike Callahan,Pat Fraher,Zach Zarba
7,2015-04-19,LAC,SAS,107,92,28,26,David Jones,Ed Malloy,Ken Mauer
8,2015-04-19,MEM,POR,100,86,26,19,James Capers,Eric Lewis,Tom Washington
9,2015-04-20,CHI,MIL,91,82,27,17,Monty McCutchen,Bill Spooner,James Williams
10,2015-04-20,GSW,NOP,97,87,19,24,Joe Crawford,Ron Garretson,Sean Wright
11,2015-04-21,CLE,BOS,99,91,26,22,Dan Crawford,Marc Davis,Bennett Salvatore
12,2015-04-21,HOU,DAL,111,99,35,28,David Jones,Ed Malloy,Ken Mauer
13,2015-04-21,TOR,WAS,106,117,32,34,Scott Foster,Bill Kennedy,Courtney Kirkland
14,2015-04-22,ATL,BRK,96,91,19,18,Mike Callahan,Michael Smith,Zach Zarba
15,2015-04-22,LAC,SAS,107,111,37,26,Joe Crawford,Ron Garretson,Sean Wright
16,2015-04-22,MEM,POR,97,82,14,18,Tony Brothers,Leroy Richardson,Bill Spooner
17,2015-04-23,BOS,CLE,95,103,21,24,James Capers,David Guthrie,Jason Phillips
18,2015-04-23,MIL,CHI,106,113,25,24,Brian Forte,Ed Malloy,Ken Mauer
19,2015-04-23,NOP,GSW,119,123,26,30,Kane Fitzgerald,Scott Foster,Derrick Stafford
20,2015-04-24,DAL,HOU,128,130,35,28,Mike Callahan,Michael Smith,Tom Washington
21,2015-04-24,SAS,LAC,100,73,13,12,Monty McCutchen,Bill Spooner,Gary Zielinski
22,2015-04-24,WAS,TOR,106,99,31,19,Tony Brothers,Sean Corbin,John Goble
23,2015-04-25,BRK,ATL,91,83,25,17,Tony Brown,Joe Crawford,Ron Garretson
24,2015-04-25,MIL,CHI,92,90,22,20,David Guthrie,Jason Phillips,Zach Zarba
25,2015-04-25,NOP,GSW,98,109,14,23,Derrick Collins,Dan Crawford,Marc Davis
26,2015-04-25,POR,MEM,109,115,31,43,Mark Ayotte,Scott Foster,Bill Kennedy
27,2015-04-26,BOS,CLE,93,101,37,43,Tony Brothers,John Goble,Leroy Richardson
28,2015-04-26,DAL,HOU,121,109,21,40,Monty McCutchen,Derrick Stafford,Josh Tiven
29,2015-04-26,SAS,LAC,105,114,35,26,Mike Callahan,Pat Fraher,Tom Washington
30,2015-04-26,WAS,TOR,125,94,34,20,Brian Forte,Ed Malloy,Ken Mauer
31,2015-04-27,BRK,ATL,120,115,21,15,James Capers,Eric Lewis,Jason Phillips
32,2015-04-27,CHI,MIL,88,94,29,16,Sean Corbin,Joe Crawford,Sean Wright
33,2015-04-27,POR,MEM,99,92,21,14,Derrick Collins,Dan Crawford,Marc Davis
34,2015-04-28,HOU,DAL,103,94,36,25,Tony Brothers,John Goble,Zach Zarba
35,2015-04-28,LAC,SAS,107,111,42,37,Scott Foster,Bill Kennedy,Josh Tiven
36,2015-04-29,ATL,BRK,107,97,20,15,David Jones,Monty McCutchen,James Williams
37,2015-04-29,MEM,POR,99,93,30,19,Brian Forte,Ed Malloy,Ken Mauer
38,2015-04-30,MIL,CHI,66,120,19,16,Mike Callahan,Derrick Stafford,Tom Washington
39,2015-04-30,SAS,LAC,96,102,21,31,Dan Crawford,Marc Davis,Zach Zarba
40,2015-05-01,BRK,ATL,87,111,24,15,John Goble,Ed Malloy,Ken Mauer
41,2015-05-02,LAC,SAS,111,109,25,20,James Capers,Monty McCutchen,Jason Phillips
42,2015-05-03,ATL,WAS,98,104,14,22,Scott Foster,Pat Fraher,Ron Garretson
43,2015-05-03,GSW,MEM,101,86,15,22,Joe Crawford,Tom Washington,Sean Wright
44,2015-05-04,CLE,CHI,92,99,19,16,Brian Forte,Ed Malloy,Ken Mauer
45,2015-05-04,HOU,LAC,101,117,24,30,Mike Callahan,Bill Spooner,Derrick Stafford
46,2015-05-05,ATL,WAS,106,90,25,14,Dan Crawford,Marc Davis,Josh Tiven
47,2015-05-05,GSW,MEM,90,97,28,20,Scott Foster,Bill Kennedy,Jason Phillips
48,2015-05-06,CLE,CHI,106,91,29,25,James Capers,Monty McCutchen,James Williams
49,2015-05-06,HOU,LAC,115,109,64,32,Joe Crawford,David Jones,Zach Zarba
50,2015-05-08,CHI,CLE,99,96,29,19,Tony Brothers,Mike Callahan,Eric Lewis
51,2015-05-08,LAC,HOU,124,99,23,31,John Goble,David Guthrie,Ken Mauer
52,2015-05-09,MEM,GSW,99,89,23,28,Tony Brown,James Capers,Monty McCutchen
53,2015-05-09,WAS,ATL,103,101,29,29,Joe Crawford,Bennett Salvatore,Zach Zarba
54,2015-05-10,CHI,CLE,84,86,12,24,Scott Foster,Jason Phillips,Tom Washington
55,2015-05-10,LAC,HOU,128,95,63,30,Dan Crawford,Marc Davis,Ron Garretson
56,2015-05-11,MEM,GSW,84,101,18,16,Tony Brothers,Mike Callahan,Pat Fraher
57,2015-05-11,WAS,ATL,101,106,17,19,John Goble,Ed Malloy,Ken Mauer
58,2015-05-12,CLE,CHI,106,101,25,28,Joe Crawford,Josh Tiven,Zach Zarba
59,2015-05-12,HOU,LAC,124,103,38,31,James Capers,Monty McCutchen,Sean Wright
60,2015-05-13,ATL,WAS,82,81,11,16,Tony Brothers,Mike Callahan,Tom Washington
