GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
932,2015-03-08,GSW,LAC,106,98
933,2015-03-08,LAL,DAL,93,100
934,2015-03-08,OKC,TOR,108,104
935,2015-03-08,ORL,BOS,103,98
936,2015-03-08,SAS,CHI,116,105
937,2015-03-09,ATL,SAC,130,105
938,2015-03-09,CHI,MEM,91,101
939,2015-03-09,CHO,WAS,69,95
940,2015-03-09,DEN,NYK,106,78
941,2015-03-09,LAC,MIN,89,76
942,2015-03-09,MIA,BOS,90,100
943,2015-03-09,MIL,NOP,103,114
944,2015-03-09,PHO,GSW,80,98
945,2015-03-10,BRK,NOP,91,111
946,2015-03-10,DAL,CLE,94,127
947,2015-03-10,IND,ORL,118,86
948,2015-03-10,LAL,DET,93,85
949,2015-03-10,SAS,TOR,117,107
950,2015-03-10,UTA,NYK,87,82
951,2015-03-11,BOS,MEM,95,92
952,2015-03-11,CHO,SAC,106,113
953,2015-03-11,DEN,ATL,115,102
954,2015-03-11,GSW,DET,105,98
955,2015-03-11,MIA,BRK,104,98
956,2015-03-11,MIL,ORL,97,91
957,2015-03-11,OKC,LAC,108,120
958,2015-03-11,PHI,CHI,95,104
959,2015-03-11,PHO,MIN,106,97
960,2015-03-11,POR,HOU,105,100
961,2015-03-12,IND,MIL,109,103
962,2015-03-12,LAL,NYK,94,101
963,2015-03-12,SAS,CLE,125,128
964,2015-03-12,UTA,HOU,109,91
965,2015-03-12,WAS,MEM,107,87
966,2015-03-13,BOS,ORL,95,88
967,2015-03-13,CHO,CHI,101,91
968,2015-03-13,DAL,LAC,129,99
969,2015-03-13,DEN,GSW,114,103
970,2015-03-13,OKC,MIN,113,99
971,2015-03-13,PHI,SAC,114,107
972,2015-03-13,PHO,ATL,87,96
973,2015-03-13,POR,DET,118,99
974,2015-03-13,TOR,MIA,102,92
975,2015-03-14,GSW,NYK,125,94
976,2015-03-14,IND,BOS,89,93
977,2015-03-14,MEM,MIL,96,83
978,2015-03-14,PHI,BRK,87,94
979,2015-03-14,UTA,DET,88,85
980,2015-03-14,WAS,SAC,113,97
981,2015-03-15,LAC,HOU,98,100
982,2015-03-15,LAL,ATL,86,91
983,2015-03-15,NOP,DEN,111,118
984,2015-03-15,OKC,CHI,109,100
985,2015-03-15,ORL,CLE,108,123
986,2015-03-15,PHO,NYK,102,89
987,2015-03-15,SAS,MIN,123,97
988,2015-03-15,TOR,POR,97,113
989,2015-03-16,BOS,PHI,108,89
990,2015-03-16,DAL,OKC,119,115
991,2015-03-16,GSW,LAL,108,105
992,2015-03-16,IND,TOR,98,117
993,2015-03-16,MEM,DEN,92,81
994,2015-03-16,MIA,CLE,106,92
995,2015-03-16,MIN,BRK,106,122
996,2015-03-16,SAC,ATL,103,110
997,2015-03-16,UTA,CHO,94,66
998,2015-03-16,WAS,POR,105,97
999,2015-03-17,DET,MEM,105,95
1000,2015-03-17,HOU,ORL,107,94
1001,2015-03-17,LAC,CHO,99,92
1002,2015-03-17,NOP,MIL,85,84
1003,2015-03-17,NYK,SAS,104,100
1004,2015-03-18,CHI,IND,103,86
1005,2015-03-18,CLE,BRK,117,92
1006,2015-03-18,DAL,ORL,107,102
1007,2015-03-18,GSW,ATL,114,95
1008,2015-03-18,MIA,POR,108,104
1009,2015-03-18,MIL,SAS,103,114
1010,2015-03-18,OKC,BOS,122,118
1011,2015-03-18,PHI,DET,94,83
1012,2015-03-18,SAC,LAC,105,116
1013,2015-03-18,TOR,MIN,105,100
1014,2015-03-18,UTA,WAS,84,88
1015,2015-03-19,HOU,DEN,118,108
1016,2015-03-19,LAL,UTA,73,80
1017,2015-03-19,NYK,MIN,92,95
1018,2015-03-19,PHO,NOP,74,72
1019,2015-03-20,BRK,MIL,129,127
1020,2015-03-20,CHI,TOR,108,92
1021,2015-03-20,CLE,IND,95,92
1022,2015-03-20,DAL,MEM,101,112
1023,2015-03-20,GSW,NOP,112,96
1024,2015-03-20,LAC,WAS,113,99
1025,2015-03-20,MIA,DEN,108,91
1026,2015-03-20,OKC,ATL,123,115
1027,2015-03-20,ORL,POR,111,104
1028,2015-03-20,PHI,NYK,97,81
1029,2015-03-20,SAC,CHO,101,91
1030,2015-03-20,SAS,BOS,101,89
1031,2015-03-21,DET,CHI,107,91
1032,2015-03-21,GSW,UTA,106,91
1033,2015-03-21,HOU,PHO,102,117
1034,2015-03-21,IND,BRK,111,123
1035,2015-03-21,MEM,POR,97,86
1036,2015-03-22,ATL,SAS,95,114
1037,2015-03-22,BOS,DET,97,105
1038,2015-03-22,LAC,NOP,107,100
1039,2015-03-22,LAL,PHI,101,87
1040,2015-03-22,MIL,CLE,90,108
1041,2015-03-22,MIN,CHO,98,109
1042,2015-03-22,OKC,MIA,93,75
1043,2015-03-22,ORL,DEN,100,119
1044,2015-03-22,PHO,DAL,98,92
1045,2015-03-22,SAC,WAS,109,86
1046,2015-03-22,TOR,NYK,106,89
1047,2015-03-23,BRK,BOS,91,110
1048,2015-03-23,CHI,CHO,98,86
1049,2015-03-23,GSW,WAS,107,76
1050,2015-03-23,IND,HOU,100,110
1051,2015-03-23,NYK,MEM,82,103
1052,2015-03-23,UTA,MIN,104,106
1053,2015-03-24,DAL,SAS,101,94
1054,2015-03-24,DET,TOR,108,104
1055,2015-03-24,MIL,MIA,89,88
1056,2015-03-24,OKC,LAL,127,117
1057,2015-03-24,POR,GSW,108,122
1058,2015-03-24,SAC,PHI,107,106
1059,2015-03-25,BOS,MIA,86,93
1060,2015-03-25,CHO,BRK,88,91
1061,2015-03-25,DEN,PHI,85,99
1062,2015-03-25,MEM,CLE,89,111
1063,2015-03-25,MIN,LAL,99,101
1064,2015-03-25,NOP,HOU,93,95
1065,2015-03-25,NYK,LAC,80,111
