GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
1,2017-04-15,CLE,IND,109,108
2,2017-04-15,LAC,UTA,95,97
3,2017-04-15,SAS,MEM,111,82
4,2017-04-15,TOR,MIL,83,97
5,2017-04-16,BOS,CHI,102,106
6,2017-04-16,GSW,POR,121,109
7,2017-04-16,HOU,OKC,118,87
8,2017-04-16,WAS,ATL,114,107
9,2017-04-17,CLE,IND,117,111
10,2017-04-17,SAS,MEM,96,82
11,2017-04-18,BOS,CHI,97,111
12,2017-04-18,LAC,UTA,99,91
13,2017-04-18,TOR,MIL,106,100
14,2017-04-19,GSW,POR,110,81
15,2017-04-19,HOU,OKC,115,111
16,2017-04-19,WAS,ATL,109,101
17,2017-04-20,IND,CLE,114,119
18,2017-04-20,MEM,SAS,105,94
19,2017-04-20,MIL,TOR,104,77
20,2017-04-21,CHI,BOS,87,104
21,2017-04-21,OKC,HOU,115,113
22,2017-04-21,UTA,LAC,106,111
23,2017-04-22,ATL,WAS,116,98
24,2017-04-22,MEM,SAS,110,108
25,2017-04-22,MIL,TOR,76,87
26,2017-04-22,POR,GSW,113,119
27,2017-04-23,CHI,BOS,95,104
28,2017-04-23,IND,CLE,102,106
29,2017-04-23,OKC,HOU,109,113
30,2017-04-23,UTA,LAC,105,98
31,2017-04-24,ATL,WAS,111,101
32,2017-04-24,POR,GSW,103,128
33,2017-04-24,TOR,MIL,118,93
34,2017-04-25,HOU,OKC,105,99
35,2017-04-25,LAC,UTA,92,96
36,2017-04-25,SAS,MEM,116,103
37,2017-04-26,BOS,CHI,108,97
38,2017-04-26,WAS,ATL,103,99
39,2017-04-27,MEM,SAS,96,103
40,2017-04-27,MIL,TOR,89,92
41,2017-04-28,ATL,WAS,99,115
42,2017-04-28,CHI,BOS,83,105
43,2017-04-28,UTA,LAC,93,98
44,2017-04-30,BOS,WAS,123,111
45,2017-04-30,LAC,UTA,91,104
46,2017-05-01,CLE,TOR,116,105
47,2017-05-01,SAS,HOU,99,126
48,2017-05-02,BOS,WAS,129,119
49,2017-05-02,GSW,UTA,106,94
50,2017-05-03,CLE,TOR,125,103
51,2017-05-03,SAS,HOU,121,96
52,2017-05-04,GSW,UTA,115,104
53,2017-05-04,WAS,BOS,116,89
54,2017-05-05,HOU,SAS,92,103
55,2017-05-05,TOR,CLE,94,115
56,2017-05-06,UTA,GSW,91,102
57,2017-05-07,HOU,SAS,125,104
58,2017-05-07,TOR,CLE,102,109
59,2017-05-07,WAS,BOS,121,102
60,2017-05-08,UTA,GSW,95,121
61,2017-05-09,SAS,HOU,110,107
62,2017-05-10,BOS,WAS,123,101
63,2017-05-11,HOU,SAS,75,114
64,2017-05-12,WAS,BOS,92,91
65,2017-05-14,GSW,SAS,113,111
66,2017-05-15,BOS,WAS,115,105
67,2017-05-16,GSW,SAS,136,100
68,2017-05-17,BOS,CLE,104,117
69,2017-05-19,BOS,CLE,86,130
70,2017-05-20,SAS,GSW,108,120
71,2017-05-21,CLE,BOS,108,111
72,2017-05-22,SAS,GSW,115,129
73,2017-05-23,CLE,BOS,112,99
74,2017-05-25,BOS,CLE,102,135
75,2017-06-01,GSW,CLE,113,91
76,2017-06-04,GSW,CLE,132,113
77,2017-06-07,CLE,GSW,113,118
78,2017-06-09,CLE,GSW,137,116
79,2017-06-12,GSW,CLE,129,120
