GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
1,2017-04-15,CLE,IND,109,108,27,20,Matt Boland,Tony Brothers,Scott Foster
2,2017-04-15,LAC,UTA,95,97,17,19,Dan Crawford,Rodney Mott,Bill Spooner
3,2017-04-15,SAS,MEM,111,82,25,17,Marc Davis,Bill Kennedy,Josh Tiven
4,2017-04-15,TOR,MIL,83,97,33,15,John Goble,Ed Malloy,Ken Mauer
5,2017-04-16,BOS,CHI,102,106,19,23,Mike Callahan,Kane Fitzgerald,David Guthrie
6,2017-04-16,GSW,POR,121,109,28,22,Tony Brown,Ron Garretson,Monty McCutchen
7,2017-04-16,HOU,OKC,118,87,26,23,James Capers,Courtney Kirkland,Sean Wright
8,2017-04-16,WAS,ATL,114,107,17,39,Derrick Collins,Derrick Stafford,Zach Zarba
9,2017-04-17,CLE,IND,117,111,23,23,Sean Corbin,Marc Davis,James Williams
10,2017-04-17,SAS,MEM,96,82,32,15,Dan Crawford,Rodney Mott,Bill Spooner
11,2017-04-18,BOS,CHI,97,111,19,14,James Capers,John Goble,Sean Wright
12,2017-04-18,LAC,UTA,99,91,8,22,Kane Fitzgerald,Pat Fraher,Monty McCutchen
13,2017-04-18,TOR,MIL,106,100,25,19,Mike Callahan,Bill Kennedy,Mark Lindsay
14,2017-04-19,GSW,POR,110,81,24,19,Mark Ayotte,Tony Brothers,Scott Foster
15,2017-04-19,HOU,OKC,115,111,37,28,Ed Malloy,Ken Mauer,Michael Smith
16,2017-04-19,WAS,ATL,109,101,33,38,Sean Corbin,Marc Davis,David Guthrie
17,2017-04-20,IND,CLE,114,119,26,30,Tony Brown,Dan Crawford,Ron Garretson
18,2017-04-20,MEM,SAS,105,94,20,28,James Capers,Pat Fraher,Courtney Kirkland
19,2017-04-20,MIL,TOR,104,77,19,30,Derrick Collins,Derrick Stafford,Zach Zarba
20,2017-04-21,CHI,BOS,87,104,15,7,Brian Forte,Monty McCutchen,Bill Spooner
21,2017-04-21,OKC,HOU,115,113,23,33,Scott Foster,Mark Lindsay,Tom Washington
22,2017-04-21,UTA,LAC,106,111,29,33,Tony Brothers,Mike Callahan,Eric Lewis
23,2017-04-22,ATL,WAS,116,98,32,20,James Capers,Kane Fitzgerald,Pat Fraher
24,2017-04-22,MEM,SAS,110,108,24,17,Bennie Adams,John Goble,Derrick Stafford
25,2017-04-22,MIL,TOR,76,87,18,17,Brent Barnaky,Dan Crawford,Ron Garretson
26,2017-04-22,POR,GSW,113,119,27,35,Ken Mauer,Leroy Richardson,Zach Zarba
27,2017-04-23,CHI,BOS,95,104,33,22,Scott Foster,Eric Lewis,Tom Washington
28,2017-04-23,IND,CLE,102,106,17,27,Mike Callahan,David Guthrie,Leon Wood
29,2017-04-23,OKC,HOU,109,113,32,33,Brian Forte,Monty McCutchen,Josh Tiven
30,2017-04-23,UTA,LAC,105,98,21,29,Marc Davis,Bill Kennedy,James Williams
31,2017-04-24,ATL,WAS,111,101,25,23,Ed Malloy,Ken Mauer,Leroy Richardson
