GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
614,2017-01-16,GSW,CLE,126,91,24,27,Bennie Adams,Eric Lewis,Ed Malloy
615,2017-01-16,IND,NOP,98,95,16,18,Mark Ayotte,Tony Brothers,Leroy Richardson
616,2017-01-16,LAC,OKC,120,98,22,19,Marc Davis,Ron Garretson,Karl Lane
617,2017-01-16,MIL,PHI,104,113,22,36,Steve Anderson,Brent Barnaky,John Goble
618,2017-01-16,NYK,ATL,107,108,23,23,Tre Maddox,Kevin Scott,Sean Wright
619,2017-01-16,PHO,UTA,101,106,17,24,Derrick Collins,Rodney Mott,Haywoode Workman
620,2017-01-16,WAS,POR,120,101,25,25,Mark Lindsay,Jason Phillips,Aaron Smith
621,2017-01-17,BRK,TOR,109,119,24,16,David Guthrie,Lauren Holtkamp,Bill Kennedy
622,2017-01-17,CHI,DAL,98,99,22,18,James Capers,Brian Forte,Brett Nansel
623,2017-01-17,LAL,DEN,121,127,18,26,Marat Kogut,Ed Malloy,Josh Tiven
624,2017-01-17,MIA,HOU,109,103,24,28,Tony Brown,Kane Fitzgerald,Scott Twardoski
625,2017-01-17,SAS,MIN,122,114,35,41,Ken Mauer,Derek Richardson,Michael Smith
626,2017-01-18,BOS,NYK,106,117,29,18,Mark Ayotte,Mark Lindsay,Jason Phillips
627,2017-01-18,CHO,POR,107,85,17,11,Pat Fraher,Derrick Stafford,Scott Twardoski
628,2017-01-18,DET,ATL,118,95,28,37,Tony Brothers,Scott Foster,J.T. Orr
629,2017-01-18,GSW,OKC,121,100,27,19,Rodney Mott,Tom Washington,Haywoode Workman
630,2017-01-18,HOU,MIL,111,92,15,14,Dan Crawford,Tyler Ford,Leroy Richardson
631,2017-01-18,NOP,ORL,118,98,15,11,Eric Dalen,Scott Wall,James Williams
632,2017-01-18,PHI,TOR,94,89,32,23,Bill Spooner,Justin Van Duyne,Gary Zielinski
633,2017-01-18,SAC,IND,100,106,27,25,Marc Davis,Eric Lewis,Leon Wood
634,2017-01-18,WAS,MEM,104,101,26,34,Brian Forte,Tre Maddox,Monty McCutchen
635,2017-01-19,CLE,PHO,118,103,19,31,James Capers,David Guthrie,Ben Taylor
636,2017-01-19,LAC,MIN,101,104,24,25,Marat Kogut,Eric Lewis,Ed Malloy
637,2017-01-19,MIA,DAL,99,95,29,11,Sean Corbin,Michael Smith,Dedric Taylor
638,2017-01-19,NYK,WAS,110,113,22,14,Brent Barnaky,Bill Kennedy,Gary Zielinski
639,2017-01-19,SAS,DEN,118,104,25,26,Bennie Adams,Curtis Blair,Zach Zarba
