GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
1,2014-10-28,LAL,HOU,90,108,39,50,Courtney Kirkland,Derek Richardson,Zach Zarba
2,2014-10-28,NOP,ORL,101,84,31,21,Tony Brothers,David Jones,Dedric Taylor
3,2014-10-28,SAS,DAL,101,100,16,19,Pat Fraher,Jason Phillips,Haywoode Workman
4,2014-10-29,BOS,BRK,121,105,23,26,Nick Buchert,Bennett Salvatore,Josh Tiven
5,2014-10-29,CHO,MIL,108,106,29,24,James Capers,Eric Lewis,Eli Roe
6,2014-10-29,DEN,DET,89,79,31,19,Courtney Kirkland,Tre Maddox,Zach Zarba
7,2014-10-29,IND,PHI,103,91,28,30,Kevin Cutler,Ed Malloy,Leroy Richardson
8,2014-10-29,MEM,MIN,105,101,20,23,Matt Boland,Scott Foster,Mark Lindsay
9,2014-10-29,MIA,WAS,107,95,23,24,Karl Lane,Derrick Stafford,Scott Wall
10,2014-10-29,NYK,CHI,80,104,17,30,Derrick Collins,Sean Corbin,Joe Crawford
11,2014-10-29,PHO,LAL,119,99,18,25,Mark Ayotte,Marc Davis,Gary Zielinski
12,2014-10-29,POR,OKC,106,89,22,26,Tony Brown,Ron Garretson,Kevin Scott
13,2014-10-29,SAC,GSW,77,95,35,32,Bennie Adams,Bill Kennedy,Justin Van Duyne
14,2014-10-29,TOR,ATL,109,102,33,17,Curtis Blair,Mike Callahan,Sean Wright
15,2014-10-29,UTA,HOU,93,104,17,14,Monty McCutchen,James Williams,Leon Wood
16,2014-10-30,CLE,NYK,90,95,20,18,Curtis Blair,David Guthrie,Tom Washington
17,2014-10-30,DAL,UTA,120,102,23,18,Brent Barnaky,David Jones,Ken Mauer
18,2014-10-30,LAC,OKC,93,90,25,34,Marc Davis,John Goble,James Williams
19,2014-10-30,MIN,DET,97,91,28,13,Dan Crawford,Lauren Holtkamp,Michael Smith
20,2014-10-30,ORL,WAS,98,105,24,26,Pat Fraher,Bill Spooner,Scott Twardoski
21,2014-10-31,CHI,CLE,108,114,17,33,Matt Boland,Scott Foster,Scott Wall
22,2014-10-31,IND,MEM,89,97,16,27,Tony Brothers,Sean Corbin,Haywoode Workman
23,2014-10-31,LAL,LAC,111,118,28,44,Bennie Adams,Bill Kennedy,Justin Van Duyne
24,2014-10-31,MIL,PHI,93,81,21,22,Brian Forte,Ron Garretson,Kipp Kissinger
25,2014-10-31,PHO,SAS,94,89,26,23,Tony Brown,Marat Kogut,Monty McCutchen
26,2014-10-31,SAC,POR,103,94,35,19,Tre Maddox,Leon Wood,Zach Zarba
27,2014-11-01,ATL,IND,102,92,33,21,Steve Anderson,Mark Ayotte,James Capers
28,2014-11-01,CHO,MEM,69,71,18,13,Brian Forte,Bill Spooner,Scott Twardoski
29,2014-11-01,DET,BRK,90,102,35,13,Mike Callahan,Derek Richardson,Leroy Richardson
